"编号","类别","中文文案","中文来源","源码原文","出现位置","审核意见"
"NT0031","操作结果","目标已暂停","现有中文/翻译","目标已暂停","src/components/content/ThreadCommandDialog.vue:162",""
"NT0032","操作结果","启动登录失败。","现有中文/翻译","启动登录失败。","src/components/accounts/AccountLoginDialog.vue:94",""
"NT0033","操作结果","切换登录方式失败。","现有中文/翻译","切换登录方式失败。","src/components/accounts/AccountLoginDialog.vue:120",""
"NT0034","操作结果","切换提供方失败。","中文审核译文；当前源码为英文","Failed to switch provider","src/App.vue:4557",""
"NT0035","操作结果","切换账号失败","现有中文/翻译","Failed to switch account","src/App.vue:2719；src/api/codexGateway.ts:1514；src/api/codexGateway.ts:1520",""
"NT0036","操作结果","取消失败。","现有中文/翻译","取消失败。","src/components/accounts/AccountLoginDialog.vue:107",""
"NT0037","操作结果","刷新账号额度失败","现有中文/翻译","Failed to refresh account quota","src/App.vue:2686；src/api/codexGateway.ts:1502",""
"NT0038","操作结果","刷新账号失败","现有中文/翻译","Failed to refresh accounts","src/App.vue:2671；src/api/codexGateway.ts:1442",""
"NT0039","操作结果","提交失败","现有中文/翻译","提交失败","src/components/content/AutomationRunHistory.vue:86",""
"NT0040","操作结果","通知已发送","现有中文/翻译","通知已发送","src/App.vue:2364；src/components/settings/NotificationSettings.vue:69；src/server/accountNotificationService.ts:220",""
"NT0041","操作结果","未找到匹配的技能。","现有中文/翻译","No matching skills found.","src/components/content/SkillsHub.vue:251",""
"NT0042","操作结果","无法创建分支。","现有中文/翻译","无法创建分支。","src/App.vue:2789",""
"NT0043","操作结果","无法读取Logo","现有中文/翻译","无法读取Logo","src/components/settings/WebUiBrandingSettings.vue:81",""
"NT0044","操作结果","显示时区保存失败。","现有中文/翻译","显示时区保存失败。","src/App.vue:1027；src/App.vue:1030",""
"NT0045","操作结果","卸载技能失败。","中文审核译文；当前源码为英文","Failed to uninstall skill","src/components/content/SkillsHub.vue:305；src/server/skillsRoutes.ts:643",""
"NT0046","操作结果","移除账号失败","现有中文/翻译","Failed to remove account","src/App.vue:2776；src/api/codexGateway.ts:1542",""
"NT0047","操作结果","移除自动化失败","现有中文/翻译","Failed to remove automation","src/components/sidebar/SidebarThreadTree.vue:2207",""
"NT0048","操作结果","已保存","现有中文/翻译","已保存","src/App.vue:2326；src/components/content/ThreadComposer.vue:370；src/components/settings/NotificationSettings.vue:55",""
"NT0049","操作结果","已打开授权页面","现有中文/翻译","已打开授权页面","src/components/content/DirectoryHub.vue:288",""
"NT0050","操作结果","运行自动化失败","现有中文/翻译","Failed to run automation","src/components/sidebar/SidebarThreadTree.vue:2224",""
"NT0051","操作结果","账号已切换","现有中文/翻译","账号已切换","src/App.vue:2717；src/components/accounts/CustomConnections.vue:99",""
"NT0052","操作结果","账号已移除","现有中文/翻译","账号已移除","src/App.vue:2765；src/server/accountActivationAdmission.ts:28",""
"NT0053","操作结果","重置结果未确认。","现有中文/翻译","重置结果未确认。","src/components/accounts/AccountResetCredits.vue:65",""
"NT0054","操作结果","自动化已保存","现有中文/翻译","自动化已保存","src/components/sidebar/SidebarThreadTree.vue:2176",""
"NT0055","操作结果","自动化已更新","现有中文/翻译","自动化已更新","src/components/content/AutomationsPanel.vue:321",""
"NT0056","操作结果","自动化已加入队列","现有中文/翻译","自动化已加入队列","src/components/sidebar/SidebarThreadTree.vue:2222",""
"NT0057","操作结果","自动化已移除","现有中文/翻译","自动化已移除","src/components/sidebar/SidebarThreadTree.vue:2205",""
"NT0058","操作结果","MCP 配置已重载。","现有中文/翻译","MCP 配置已重载。","src/components/content/DirectoryHub.vue:297",""
"NT0059","操作结果","MCP 重载失败","现有中文/翻译","MCP 重载失败","src/components/content/DirectoryHub.vue:298",""
"NT0060","确认与风险提醒","{变量1}（已保存，目录未确认）","现有中文/翻译","{变量1}（已保存，目录未确认）","src/modelCapabilities.ts:56；src/modelCapabilities.ts:62",""
"NT0061","确认与风险提醒","↑↓ 选择 · Enter 确认 · Esc 收起","现有中文/翻译","↑↓ 选择 · Enter 确认 · Esc 收起","src/components/content/ComposerCommandPicker.vue:14",""
"NT0062","确认与风险提醒","部分会话状态未能确认，请重试","现有中文/翻译","部分会话状态未能确认，请重试","src/composables/useSidebarThreadFilter.ts:64",""
"NT0063","确认与风险提醒","此会话还有未确认的提交，请先点击“核对提交”","现有中文/翻译","此会话还有未确认的提交，请先点击“核对提交”","src/api/deliveryOutbox.ts:61；src/api/deliveryOutbox.ts:73",""
"NT0064","确认与风险提醒","待确认","现有中文/翻译","待确认","src/components/api-proxy/ApiProxyPanel.vue:204",""
"NT0065","确认与风险提醒","待确认的压缩请求过多，请先检查已有请求。","现有中文/翻译","待确认的压缩请求过多，请先检查已有请求。","src/api/threadCompaction.ts:43；src/server/threadCompactionGate.ts:26",""
"NT0066","确认与风险提醒","等待确认是否送达","现有中文/翻译","等待确认是否送达","src/delivery.ts:39",""
"NT0067","确认与风险提醒","回答尚未确认送达，请稍后核对；重试将复用本次投递，不重复发送。","现有中文/翻译","回答尚未确认送达，请稍后核对；重试将复用本次投递，不重复发送。","src/api/codexGateway.ts:2001",""
"NT0068","确认与风险提醒","结果未确认","现有中文/翻译","结果未确认","src/components/settings/AccountActivation.vue:73",""
"NT0069","确认与风险提醒","扩展列表超过 20 页，无法确认完整结果","现有中文/翻译","扩展列表超过 20 页，无法确认完整结果","src/directory.ts:110",""
"NT0070","确认与风险提醒","浏览器中未确认的提交过多，请先核对已有记录","现有中文/翻译","浏览器中未确认的提交过多，请先核对已有记录","src/api/deliveryOutbox.ts:74",""
"NT0071","确认与风险提醒","模型目录暂时不可用，保留当前选择；能力尚未确认。","现有中文/翻译","模型目录暂时不可用，保留当前选择；能力尚未确认。","src/composables/useDesktopState.ts:2082",""
"NT0072","确认与风险提醒","模型能力尚未确认","现有中文/翻译","模型能力尚未确认","src/components/content/ThreadComposer.vue:597",""
"NT0073","确认与风险提醒","确认后消耗一次重置机会，并重置上游允许的额度窗口。","现有中文/翻译","确认后消耗一次重置机会，并重置上游允许的额度窗口。","src/components/accounts/AccountResetCredits.vue:11",""
"NT0074","确认与风险提醒","确认使用一次","现有中文/翻译","确认使用一次","src/components/accounts/AccountResetCredits.vue:13",""
"NT0075","确认与风险提醒","确认使用重置机会","现有中文/翻译","确认使用重置机会","src/components/accounts/AccountResetCredits.vue:8",""
"NT0076","确认与风险提醒","确认停止进程","现有中文/翻译","确认停止进程","src/components/content/ThreadProcessPanel.vue:36",""
"NT0077","确认与风险提醒","上下文压缩结果未确认","现有中文/翻译","上下文压缩结果未确认","src/compaction.ts:12",""
"NT0078","确认与风险提醒","尚未确认提交结果，请稍后核对","现有中文/翻译","尚未确认提交结果，请稍后核对","src/components/content/DeliveryOutbox.vue:65",""
"NT0079","确认与风险提醒","输入 / 后继续搜索；↑↓ 选择，Enter 确认，Esc 收起。未选择命令时按原方式输入和发送文字。","现有中文/翻译","输入 / 后继续搜索；↑↓ 选择，Enter 确认，Esc 收起。未选择命令时按原方式输入和发送文字。","src/components/content/ThreadCommandDialog.vue:28",""
"NT0080","确认与风险提醒","提交结果待确认","现有中文/翻译","提交结果待确认","src/components/content/DeliveryOutbox.vue:6",""
"NT0081","确认与风险提醒","停止结果无法确认","现有中文/翻译","停止结果无法确认","src/components/content/ThreadProcessPanel.vue:216；src/components/content/ThreadProcessPanel.vue:219",""
"NT0082","确认与风险提醒","未确认提交结果，请核对提交状态","现有中文/翻译","未确认提交结果，请核对提交状态","src/api/deliveryOutbox.ts:108",""
"NT0083","确认与风险提醒","未收到有效的提交确认，请核对提交状态","现有中文/翻译","未收到有效的提交确认，请核对提交状态","src/api/deliveryOutbox.ts:113",""
"NT0084","确认与风险提醒","无法读取待确认提交","现有中文/翻译","无法读取待确认提交","src/components/content/DeliveryOutbox.vue:53",""
"NT0085","确认与风险提醒","无法确认当前账号，消息尚未提交","现有中文/翻译","无法确认当前账号，消息尚未提交","src/api/deliveryOutbox.ts:64",""
"NT0086","确认与风险提醒","压缩请求等待确认。","现有中文/翻译","压缩请求等待确认。","src/App.vue:633",""
"NT0087","确认与风险提醒","压缩请求结果未确认","现有中文/翻译","压缩请求结果未确认","src/api/threadCompaction.ts:142",""
"NT0088","确认与风险提醒","已收到原生停止确认。","现有中文/翻译","已收到原生停止确认。","src/components/content/ThreadProcessPanel.vue:217",""
"NT0089","确认与风险提醒","重置结果未确认，请核对额度后重试。","现有中文/翻译","重置结果未确认，请核对额度后重试。","src/components/accounts/AccountResetCredits.vue:57",""
"NT0090","确认与风险提醒","状态待确认","现有中文/翻译","状态待确认","src/components/content/ThreadProcessPanel.vue:95；src/processActivity.ts:63",""
"NT0091","确认与风险提醒","准备项目 AGENTS.md 初始化指令，确认后发送","现有中文/翻译","准备项目 AGENTS.md 初始化指令，确认后发送","src/components/content/composerCommands.ts:56",""
"NT0092","会话与回合提示","{变量1} 已删除。","中文审核译文；当前源码为英文模板","{变量1} deleted","src/components/content/ThreadConversation.vue:2165",""
"NT0093","会话与回合提示","⊘ 已中断","中文审核译文；当前源码为英文","⊘ Interrupted","src/components/content/ThreadConversation.vue:1305",""
"NT0094","会话与回合提示","✗ 失败","中文审核译文；当前源码为英文","✗ Failed","src/components/content/ThreadConversation.vue:1303",""
"NT0095","会话与回合提示","⟳ 运行中","中文审核译文；当前源码为英文","⟳ Running","src/components/content/ThreadConversation.vue:1301",""
"NT0096","会话与回合提示","复制失败","现有中文/翻译","Copy failed","src/components/content/ThreadConversation.vue:588；src/components/content/ThreadConversation.vue:753；src/utils/clipboard.ts:60",""
"NT0097","会话与回合提示","更新文件改动失败。","中文审核译文；当前源码为英文","Failed to update file changes.","src/components/content/ThreadConversation.vue:2067",""
"NT0098","会话与回合提示","加载历史失败，请重试。","现有中文/翻译","加载历史失败，请重试。","src/components/content/ThreadConversation.vue:3864",""
"NT0099","会话与回合提示","加载消息中...","现有中文/翻译","Loading messages...","src/components/content/ThreadConversation.vue:3",""
"NT0100","会话与回合提示","没有可用 diff","现有中文/翻译","No diff available","src/components/content/ThreadConversation.vue:882",""
"NT0101","会话与回合提示","目标数据不完整，请重新读取","现有中文/翻译","持续目标数据不完整，请重新读取","src/threadGoal.ts:24",""
"NT0102","会话与回合提示","目标已阻塞，请查看最后回复，处理后继续。","现有中文/翻译","目标已阻塞，请查看最后回复，处理后继续。","src/threadGoal.ts:45",""
"NT0103","会话与回合提示","需要处理","现有中文/翻译","需要处理","src/threadGoal.ts:13",""
"NT0104","会话与回合提示","用量受限","现有中文/翻译","用量受限","src/threadGoal.ts:14",""
"NT0105","会话与回合提示","预算已到","现有中文/翻译","预算已到","src/threadGoal.ts:14",""
"NT0106","会话与回合提示","预算已调整，可手动继续目标。","现有中文/翻译","预算已调整，可手动继续目标。","src/threadGoal.ts:46",""
"NT0107","会话与回合提示","预算已用完，请先提高预算或留空取消预算，再继续。","现有中文/翻译","预算已用完，请先提高预算或留空取消预算，再继续。","src/threadGoal.ts:39",""
"NT0108","会话与回合提示","运行时用量受限，额度重置后可继续。","现有中文/翻译","运行时用量受限，额度恢复后可继续。","src/threadGoal.ts:47",""
"NT0109","错误与失败提示","{变量1} 个会话读取失败。","现有中文/翻译","{变量1} 个会话读取失败。","src/App.vue:2190",""
"NT0110","错误与失败提示","{变量1} 执行失败，退出码为 {变量2}。","中文审核译文；当前源码为英文模板","{变量1} failed with exit code {变量2}","src/cli/index.ts:51；src/cli/index.ts:69",""
"NT0111","错误与失败提示","安装失败","中文审核译文；当前源码为英文","Install failed","src/components/content/SkillsHub.vue:270",""
"NT0112","错误与失败提示","安装已完成，但刷新后未找到本地技能。","中文审核译文；当前源码为英文","Install completed but the local skill was not found after refresh","src/components/content/SkillsHub.vue:275",""
"NT0113","错误与失败提示","保存工作区根目录状态失败。","中文审核译文；当前源码为英文","Failed to save workspace roots state","src/api/codexGateway.ts:2959",""
"NT0114","错误与失败提示","保存会话自动化失败。","中文审核译文；当前源码为英文","Failed to save thread automation","src/api/codexGateway.ts:1219",""
"NT0115","错误与失败提示","保存失败，请重试","现有中文/翻译","保存失败，请重试","src/App.vue:3606",""
"NT0116","错误与失败提示","保存项目自动化失败。","中文审核译文；当前源码为英文","Failed to save project automation","src/api/codexGateway.ts:1247",""
"NT0117","错误与失败提示","备用请求失败：{变量1}","中文审核译文；当前源码为英文模板","Fallback request failed with {变量1}","src/api/codexGateway.ts:593",""
"NT0118","错误与失败提示","部分插件市场读取失败：{变量1}","现有中文/翻译","部分插件市场读取失败：{变量1}","src/components/content/DirectoryHub.vue:227",""
"NT0119","错误与失败提示","操作失败。","现有中文/翻译","操作失败。","src/components/api-proxy/ApiProxyPanel.vue:227",""
"NT0120","错误与失败提示","插件读取失败","现有中文/翻译","插件读取失败","src/components/content/DirectoryHub.vue:315",""
"NT0121","错误与失败提示","插件市场加载失败","现有中文/翻译","插件市场加载失败","src/api/codexGateway.ts:2268",""
"NT0122","错误与失败提示","撤回会话失败。","中文审核译文；当前源码为英文","Failed to rollback thread","src/composables/useDesktopState.ts:5306",""
"NT0123","错误与失败提示","初始化 Git 失败","现有中文/翻译","Failed to initialize Git","src/api/codexGateway.ts:2867；src/components/content/ReviewPane.vue:840；src/server/reviewGit.ts:1041",""
"NT0124","错误与失败提示","创建本地目录失败。","中文审核译文；当前源码为英文","Failed to create local directory","src/api/codexGateway.ts:3096",""
"NT0125","错误与失败提示","创建工作树失败。","中文审核译文；当前源码为英文","Failed to create worktree","src/api/codexGateway.ts:2571；src/api/codexGateway.ts:2591；src/server/codexAppServerBridge.ts:8558；src/server/codexAppServerBridge.ts:8633",""
"NT0126","错误与失败提示","创建工作树失败。","中文审核译文；当前源码为英文","Failed to create worktree.","src/App.vue:3010",""
"NT0127","错误与失败提示","创建文件夹失败。","中文审核译文；当前源码为英文","Failed to create folder.","src/App.vue:4173",""
"NT0128","错误与失败提示","创建文件夹失败。","中文审核译文；当前源码为英文","Failed to create the folder.","src/App.vue:4164",""
"NT0129","错误与失败提示","创建新会话目录失败。","中文审核译文；当前源码为英文","Failed to create new chat folder","src/api/codexGateway.ts:3144；src/api/codexGateway.ts:3157；src/server/codexAppServerBridge.ts:2103；src/server/codexAppServerBridge.ts:9269",""
"NT0130","错误与失败提示","打开所选文件夹失败。","中文审核译文；当前源码为英文","Failed to open the selected folder.","src/App.vue:4092；src/App.vue:4103",""
"NT0131","错误与失败提示","打开项目根目录失败。","中文审核译文；当前源码为英文","Failed to open project root","src/api/codexGateway.ts:2977",""
"NT0132","错误与失败提示","导出项目失败：{变量1}","中文审核译文；当前源码为英文模板","Failed to export project: {变量1}","src/api/codexGateway.ts:3024",""
"NT0133","错误与失败提示","导出项目失败。","中文审核译文；当前源码为英文","Failed to export project","src/api/codexGateway.ts:3019；src/server/codexAppServerBridge.ts:9129；src/server/codexAppServerBridge.ts:9131",""
"NT0134","错误与失败提示","导出项目失败。","中文审核译文；当前源码为英文","Failed to export project.","src/App.vue:2970",""
"NT0135","错误与失败提示","导入项目失败。","中文审核译文；当前源码为英文","Failed to import project","src/api/codexGateway.ts:3067；src/server/codexAppServerBridge.ts:9165",""
"NT0136","错误与失败提示","导入项目失败。","中文审核译文；当前源码为英文","Failed to import project.","src/App.vue:4018",""
"NT0137","错误与失败提示","读取待处理服务器请求失败，HTTP {变量1}。","中文审核译文；当前源码为英文模板","Pending server requests failed with HTTP {变量1}","src/api/codexRpcClient.ts:355",""
"NT0138","错误与失败提示","读取登录状态失败。","现有中文/翻译","读取登录状态失败。","src/api/codexGateway.ts:346；src/components/accounts/AccountLoginDialog.vue:82",""
"NT0139","错误与失败提示","读取方法目录失败，HTTP {变量1}。","中文审核译文；当前源码为英文模板","Method catalog failed with HTTP {变量1}","src/api/codexRpcClient.ts:95",""
"NT0140","错误与失败提示","读取激活计划失败","现有中文/翻译","读取激活计划失败","src/App.vue:1017",""
"NT0141","错误与失败提示","读取激活记录失败","现有中文/翻译","读取激活记录失败","src/components/settings/AccountActivation.vue:92；src/components/settings/AccountActivation.vue:95",""
"NT0142","错误与失败提示","读取记录失败","现有中文/翻译","读取记录失败","src/components/content/AutomationRunHistory.vue:62",""
"NT0143","错误与失败提示","读取历史失败","现有中文/翻译","读取历史失败","src/components/content/AutomationRunHistory.vue:74",""
"NT0144","错误与失败提示","读取失败","现有中文/翻译","读取失败","src/components/content/ThreadCommandDialog.vue:218；src/components/settings/AccountActivation.vue:134",""
"NT0145","错误与失败提示","读取失败。","现有中文/翻译","读取失败。","src/components/api-proxy/ApiProxyPanel.vue:220",""
"NT0146","错误与失败提示","读取通知目录失败，HTTP {变量1}。","中文审核译文；当前源码为英文模板","Notification catalog failed with HTTP {变量1}","src/api/codexRpcClient.ts:120",""
"NT0147","错误与失败提示","读取通知设置失败。","现有中文/翻译","读取通知设置失败。","src/components/settings/NotificationSettings.vue:45",""
"NT0148","错误与失败提示","读取项目工作目录失败","现有中文/翻译","读取项目工作目录失败","src/App.vue:1606；src/App.vue:3091；src/api/codexGateway.ts:3606；src/server/codexAppServerBridge.ts:9179",""
"NT0149","错误与失败提示","读取摘录失败。","现有中文/翻译","读取摘录失败。","src/components/content/TaskSearchDialog.vue:98",""
"NT0150","错误与失败提示","读取账号设置失败。","现有中文/翻译","读取账号设置失败。","src/components/accounts/AccountOptions.vue:79",""
"NT0151","错误与失败提示","读取Git 仓库状态失败。","中文审核译文；当前源码为英文","Failed to read Git repository status","src/api/codexGateway.ts:2690；src/server/codexAppServerBridge.ts:8807",""
"NT0152","错误与失败提示","队列保存失败，请重试","现有中文/翻译","队列保存失败，请重试","src/api/codexGateway.ts:2554；src/composables/useDesktopState.ts:4267",""
"NT0153","错误与失败提示","发送前失败","现有中文/翻译","发送前失败","src/delivery.ts:39",""
"NT0154","错误与失败提示","分享项目失败，请使用下载。","现有中文/翻译","Failed to share project. Use Download instead.","src/App.vue:2954",""
"NT0155","错误与失败提示","服务器错误","中文审核译文；当前源码为英文","Server error","src/api/codexGateway.ts:1648",""
"NT0156","错误与失败提示","复制失败，请选中文本复制。","现有中文/翻译","复制失败，请选中文本复制。","src/components/content/FeedbackReportDialog.vue:27",""
"NT0157","错误与失败提示","工作树初始化失败","现有中文/翻译","Worktree setup failed","src/App.vue:5081",""
"NT0158","错误与失败提示","关闭终端失败","中文审核译文；当前源码为英文","Terminal close failed","src/components/content/ThreadTerminalPanel.vue:310",""
"NT0159","错误与失败提示","忽略标记保存失败，请重试","现有中文/翻译","忽略标记保存失败，请重试","src/composables/useIgnoredQuotaErrors.ts:40",""
"NT0160","错误与失败提示","忽略标记读取失败，请重试","现有中文/翻译","忽略标记读取失败，请重试","src/composables/useIgnoredQuotaErrors.ts:21",""
"NT0161","错误与失败提示","回答发送失败，请重试。","现有中文/翻译","回答发送失败，请重试。","src/components/content/AsyncQuestionCard.vue:66",""
"NT0162","错误与失败提示","回复服务器请求失败，HTTP {变量1}。","中文审核译文；当前源码为英文模板","Server request reply failed with HTTP {变量1}","src/api/codexRpcClient.ts:333",""
"NT0163","错误与失败提示","回应服务器请求失败。","中文审核译文；当前源码为英文","Failed to reply to server request","src/api/codexRpcClient.ts:319；src/composables/useDesktopState.ts:5670",""
"NT0164","错误与失败提示","会话状态读取失败，请重试","现有中文/翻译","会话状态读取失败，请重试","src/composables/useSidebarThreadFilter.ts:57；src/composables/useSidebarThreadFilter.ts:66",""
"NT0165","错误与失败提示","技能设置保存失败","现有中文/翻译","技能设置保存失败","src/components/content/SkillsHub.vue:320",""
"NT0166","错误与失败提示","加载 Commit 文件失败","现有中文/翻译","Failed to load commit files","src/App.vue:3889；src/api/codexGateway.ts:2756；src/server/codexAppServerBridge.ts:8992",""
"NT0167","错误与失败提示","加载本地目录失败。","中文审核译文；当前源码为英文","Failed to load local directories","src/api/codexGateway.ts:2915",""
"NT0168","错误与失败提示","加载本地文件夹失败。","中文审核译文；当前源码为英文","Failed to load local folders.","src/App.vue:4279",""
"NT0169","错误与失败提示","加载分支失败。","中文审核译文；当前源码为英文","Failed to load branches","src/api/codexGateway.ts:2607",""
"NT0170","错误与失败提示","加载分支提交记录失败。","中文审核译文；当前源码为英文","Failed to load branch commits","src/App.vue:3862；src/api/codexGateway.ts:2730；src/server/codexAppServerBridge.ts:8904",""
"NT0171","错误与失败提示","加载更早的消息失败。","中文审核译文；当前源码为英文","Failed to load earlier messages","src/composables/useDesktopState.ts:4646",""
"NT0172","错误与失败提示","加载工作区根目录状态失败。","中文审核译文；当前源码为英文","Failed to load workspace roots state","src/api/codexGateway.ts:2507",""
"NT0173","错误与失败提示","加载会话 {变量1} 更早的消息失败。","中文审核译文；当前源码为英文模板","Failed to load earlier messages for thread {变量1}","src/api/codexGateway.ts:872",""
"NT0174","错误与失败提示","加载会话 {变量1} 失败。","中文审核译文；当前源码为英文模板","Failed to load thread {变量1}","src/api/codexGateway.ts:838；src/api/codexGateway.ts:846；src/api/codexGateway.ts:864",""
"NT0175","错误与失败提示","加载会话分组失败。","中文审核译文；当前源码为英文","Failed to load thread groups","src/api/codexGateway.ts:815；src/api/codexGateway.ts:826",""
"NT0176","错误与失败提示","加载会话自动化失败。","中文审核译文；当前源码为英文","Failed to load thread automation","src/api/codexGateway.ts:1191",""
"NT0177","错误与失败提示","加载会话自动化失败。","中文审核译文；当前源码为英文","Failed to load thread automations","src/api/codexGateway.ts:1157",""
"NT0178","错误与失败提示","加载技能失败。","中文审核译文；当前源码为英文","Failed to load skills","src/components/content/SkillsHub.vue:221",""
"NT0179","错误与失败提示","加载审查快照失败","现有中文/翻译","Failed to load review snapshot","src/api/codexGateway.ts:2819；src/components/content/ReviewPane.vue:769；src/server/reviewGit.ts:1012",""
"NT0180","错误与失败提示","加载审阅摘要失败。","中文审核译文；当前源码为英文","Failed to load review summary","src/api/codexGateway.ts:2832；src/server/reviewGit.ts:987",""
"NT0181","错误与失败提示","加载完成列表失败。","中文审核译文；当前源码为英文","Failed to load completion list","src/composables/useDesktopState.ts:1427",""
"NT0182","错误与失败提示","加载项目自动化失败。","中文审核译文；当前源码为英文","Failed to load project automations","src/api/codexGateway.ts:1173",""
"NT0183","错误与失败提示","加载账号额度失败。","中文审核译文；当前源码为英文","Failed to load account rate limits","src/api/codexGateway.ts:1405",""
"NT0184","错误与失败提示","加载账号失败","现有中文/翻译","Failed to load accounts","src/App.vue:2651；src/api/codexGateway.ts:1430",""
"NT0185","错误与失败提示","加载主目录失败。","中文审核译文；当前源码为英文","Failed to load home directory","src/api/codexGateway.ts:2894",""
"NT0186","错误与失败提示","加载自动化失败","现有中文/翻译","Failed to load automations","src/components/content/AutomationsPanel.vue:309",""
"NT0187","错误与失败提示","加载Git 分支状态失败。","中文审核译文；当前源码为英文","Failed to load Git branch state","src/api/codexGateway.ts:2636",""
"NT0188","错误与失败提示","加载Telegram 配置失败。","中文审核译文；当前源码为英文","Failed to load Telegram configuration","src/App.vue:2287；src/api/codexGateway.ts:3272",""
"NT0189","错误与失败提示","加载Telegram 状态失败。","中文审核译文；当前源码为英文","Failed to load Telegram status","src/App.vue:2265；src/api/codexGateway.ts:3309",""
"NT0190","错误与失败提示","进程状态读取失败","现有中文/翻译","进程状态读取失败","src/components/content/ThreadProcessPanel.vue:101；src/components/content/ThreadProcessPanel.vue:141",""
"NT0191","错误与失败提示","克隆GitHub 仓库失败。","中文审核译文；当前源码为英文","Failed to clone GitHub repository","src/api/codexGateway.ts:3122；src/server/codexAppServerBridge.ts:9257",""
